"CT_site","Conservancy","n_days_sampled","n_images","n_days_detected","Species","prop_detected","popdens_log","closed_250m","closed_lc","agri_lc","distance_to_water","livestock_pressure"
"OMC01","OMC",12,14,9,"hare",0.75,2.94865320390066,0.4337899543379,0.433789954337899,0,0.785175109863281,0.25
"OMC02","OMC",33,0,0,NA,0,2.89815236138683,0.82648401826484,0.82648401826484,0,0.0948683319091797,0
"OMC03","OMC",39,17,10,"hare",0.256410256410256,2.69695469190572,0.186363636363636,0.186363636363636,0,0.52478564453125,0.0769230769230769
"OMC04","OMC",36,0,0,NA,0,2.84007084450861,0.502347417840376,0.502347417840376,0,1.00846417236328,0.0555555555555556
"OMC05","OMC",27,0,0,NA,0,2.88049549239389,0.804545454545455,0.804545454545454,0,0.474341644287109,0
"OMC06","OMC",14,0,0,NA,0,2.82008921266891,0.908675799086758,0.908675799086758,0,0.134164077758789,0
"OMC07","OMC",38,6,3,"hare",0.0789473684210526,2.75523942517488,0.221719457013575,0.221719457013575,0,0.782304260253906,0.157894736842105
"OMC09","OMC",38,0,0,NA,0,2.68519836249171,0.313636363636364,0.313636363636364,0,0.540832702636719,0
"OMC10","OMC",28,0,0,NA,0,2.7278742804023,0.258064516129032,0.258064516129032,0,0.807774719238281,0
"OMC11","OMC",16,1,1,"hare",0.0625,2.83486541932878,0.857798165137615,0.857798165137615,0,0.737902404785156,0
"OMC12","OMC",23,0,0,NA,0,2.74299977945013,0.977064220183486,0.977064220183486,0,0.361247833251953,0.739130434782609
"OMC13","OMC",18,1,1,"hare",0.0555555555555556,2.73842416491966,0.817351598173516,0.817351598173516,0,1.65245275878906,0.0555555555555556
"OMC15","OMC",30,2,2,"hare",0.0666666666666667,2.74302664952801,0.195454545454545,0.195454545454546,0,0.58249462890625,0.0333333333333333
"OMC16","OMC",38,3,2,"hare",0.0526315789473684,2.83726882583232,0.493150684931507,0.493150684931507,0,0.0948683319091797,0
"OMC17","OMC",16,0,0,NA,0,2.44766697435458,0.447004608294931,0.447004608294931,0,1.4873466796875,0
"OMC18","OMC",39,0,0,NA,0,3.54332330944408,0.945205479452055,0.945205479452055,0,1.28405603027344,0.205128205128205
"OMC19","OMC",39,0,0,NA,0,2.50671769241344,0.230414746543779,0.230414746543778,0,0.700357055664062,0.256410256410256
"OMC21","OMC",38,11,8,"hare",0.210526315789474,2.67943067058959,0,0,0,1.68908264160156,0.736842105263158
"OMC22","OMC",39,1,1,"hare",0.0256410256410256,2.59812281201464,0.187214611872146,0.187214611872146,0,1.04785498046875,0.282051282051282
"OMC23","OMC",23,3,2,"hare",0.0869565217391304,2.65377950776259,0.375565610859729,0.375565610859728,0,0.391152130126953,0.434782608695652
"OMC24","OMC",39,2,2,"hare",0.0512820512820513,3.67044962388128,0.0138888888888889,0.0138888888888889,0,1.03619494628906,0
"OMC25","OMC",39,0,0,NA,0,2.9505777981835,0.287671232876712,0.287671232876712,0,1.04785498046875,0.461538461538462
"OMC26","OMC",26,7,5,"hare",0.192307692307692,2.9306096423266,0.0593607305936073,0.0593607305936073,0,0.474341644287109,0.769230769230769
"OMC27","OMC",38,1,1,"hare",0.0263157894736842,2.66567396831901,0,0,0,0.902496520996094,0.157894736842105
"OMC28","OMC",39,0,0,NA,0,2.86921882450829,0.616822429906542,0.616822429906542,0,0.456946380615234,0.461538461538462
"OMC29","OMC",19,0,0,NA,0,2.85569498118138,0.836363636363636,0.836363636363637,0,0.192093734741211,0.0526315789473684
"OMC30","OMC",39,6,4,"hare",0.102564102564103,3.20197785312231,0.0414746543778802,0.0414746543778803,0,0.930483764648438,0.538461538461538
"OMC31","OMC",39,2,2,"hare",0.0512820512820513,3.19226019517901,0.0454545454545455,0.0454545454545454,0,0.752396179199219,0.205128205128205
"OMC32","OMC",23,1,1,"hare",0.0434782608695652,3.06319902274342,0.0504587155963303,0.0504587155963303,0,0.5770615234375,0.173913043478261
"OMC33","OMC",28,0,0,NA,0,3.2007363213234,0.269406392694064,0.269406392694064,0,0.371079498291016,0
"OMC34","OMC",39,5,4,"hare",0.102564102564103,3.24644959624886,0.1,0.1,0,1.55682373046875,0.358974358974359
"OMC36","OMC",40,5,4,"hare",0.1,3.18813826661488,0.00454545454545455,0.00454545454545456,0,1.86386694335938,0.2
"OMC37","OMC",18,3,3,"hare",0.166666666666667,3.36755392008167,0.0590909090909091,0.059090909090909,0,0.764852905273438,0.611111111111111
"OMC38","OMC",39,1,1,"hare",0.0256410256410256,3.47891812720069,0.170506912442396,0.170506912442396,0,0.85802099609375,0.0256410256410256
